GPS ID	notes	date	Position	Elevation	tree type	source	age estimate	height	other notes	photo
52	A	20-Aug-21 16:10:56	N61° 14.068' W45° 29.814'	90 ft	Birch	Niels Sakkariasen			A: ~15 m down valley from creek, 35 m down from hut and 8 m away from the existing grove, 20 Aug, 2021, Jason, Dorthe, Alun, Lars and Caspar filming	
53	A	20-Aug-21 16:12:30	N61° 14.068' W45° 29.815'	86 ft	Sitka spruce	Niels Sakkariasen			B: Qannasiassat shorline transplantees, most marked with a single stone, 28 Aug, Kathy, Steve, Jason, Michael S.	
54	A	20-Aug-21 16:13:20	N61° 14.060' W45° 29.817'	87 ft	Sitka spruce	Niels Sakkariasen			C: up fjord from Qannassasat cabin, 29 Aug, 2021, Michael filming, Kathy, Steve, Jason	
55	A	20-Aug-21 16:33:31	N61° 14.041' W45° 29.800'	82 ft					D: Umiaq women's expedition	
56	A	20-Aug-21 16:34:11	N61° 14.043' W45° 29.800'	74 ft						
57	A	20-Aug-21 16:48:45	N61° 14.057' W45° 29.815'	62 ft	Engelmani Blue Spruce	Niels Sakkariasen				
58	A	20-Aug-21 16:49:43	N61° 14.057' W45° 29.814'	61 ft	Engelmani Blue Spruce	Niels Sakkariasen				
79	A, Lars	20-Aug-21 16:50:20	N61° 14.057' W45° 29.818'	59 ft	Sitka spruce	Niels Sakkariasen	Lars			
80	A, Caspar	20-Aug-21 16:50:55	N61° 14.057' W45° 29.818'	62 ft	Sitka spruce	Niels Sakkariasen	Caspar			
81	A	20-Aug-21 16:52:50	N61° 14.058' W45° 29.818'	58 ft	Sitka spruce	Niels Sakkariasen				
82	A	20-Aug-21 16:54:09	N61° 14.057' W45° 29.813'	59 ft	Engelmani Blue Spruce	Niels Sakkariasen				
83	?	20-Aug-21 16:55:21	N61° 14.059' W45° 29.811'	58 ft		shoreline				see photos between 20210820 19 08 25 JB and 20210820 19 08 51
84	?	20-Aug-21 17:15:31	N61° 14.060' W45° 29.810'	42 ft		shoreline				see photos between 20210820 19 08 25 JB and 20210820 19 08 52
85	?	20-Aug-21 17:16:43	N61° 14.060' W45° 29.810'	41 ft		shoreline				see photos between 20210820 19 08 25 JB and 20210820 19 08 53
86	?	20-Aug-21 17:18:25	N61° 14.061' W45° 29.810'	50 ft		shoreline				see photos between 20210820 19 08 25 JB and 20210820 19 08 54
87	?	20-Aug-21 17:19:07	N61° 14.061' W45° 29.809'	48 ft		shoreline				see photos between 20210820 19 08 25 JB and 20210820 19 08 55
88	?	20-Aug-21 17:19:33	N61° 14.060' W45° 29.810'	42 ft		shoreline				see photos between 20210820 19 08 25 JB and 20210820 19 08 56
89	?	20-Aug-21 17:19:50	N61° 14.060' W45° 29.810'	43 ft		shoreline				see photos between 20210820 19 08 25 JB and 20210820 19 08 57
