Symbol	Name	Comment	Position	Elevation	Date Modified	Date Created	Link	Temperature	Proximity	Display Type	Categories
	"052"	"20-AUG-21 16:10:56"	"N61° 14.068' W45° 29.814'"	"90 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"053"	"20-AUG-21 16:12:30"	"N61° 14.068' W45° 29.815'"	"86 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"054"	"20-AUG-21 16:13:20"	"N61° 14.060' W45° 29.817'"	"87 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"055"	"20-AUG-21 16:33:31"	"N61° 14.041' W45° 29.800'"	"82 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"056"	"20-AUG-21 16:34:11"	"N61° 14.043' W45° 29.800'"	"74 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"057"	"20-AUG-21 16:48:45"	"N61° 14.057' W45° 29.815'"	"62 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"058"	"20-AUG-21 16:49:43"	"N61° 14.057' W45° 29.814'"	"61 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"075"	"20-AUG-21 16:50:13"	"N61° 14.057' W45° 29.817'"	"61 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"079"	"20-AUG-21 16:50:20"	"N61° 14.057' W45° 29.818'"	"59 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"080"	"20-AUG-21 16:50:55"	"N61° 14.057' W45° 29.818'"	"62 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"081"	"20-AUG-21 16:52:50"	"N61° 14.058' W45° 29.818'"	"58 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"082"	"20-AUG-21 16:54:09"	"N61° 14.057' W45° 29.813'"	"59 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"083"	"20-AUG-21 16:55:21"	"N61° 14.059' W45° 29.811'"	"58 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"084"	"20-AUG-21 17:15:31"	"N61° 14.060' W45° 29.810'"	"42 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"085"	"20-AUG-21 17:16:43"	"N61° 14.060' W45° 29.810'"	"41 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"086"	"20-AUG-21 17:18:25"	"N61° 14.061' W45° 29.810'"	"50 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"087"	"20-AUG-21 17:19:07"	"N61° 14.061' W45° 29.809'"	"48 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"088"	"20-AUG-21 17:19:33"	"N61° 14.060' W45° 29.810'"	"42 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"089"	"20-AUG-21 17:19:50"	"N61° 14.060' W45° 29.810'"	"43 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"090"	"20-AUG-21 17:20:01"	"N61° 14.059' W45° 29.813'"	"41 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"091"	"20-AUG-21 17:20:10"	"N61° 14.057' W45° 29.812'"	"43 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"092"	"20-AUG-21 17:20:24"	"N61° 14.056' W45° 29.815'"	"41 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
